Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
jack-and-jones-mens-jjorclose-baseball-camp-jacket,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/jack-and-jones-mens-jjorclose-baseball-camp-jacket_5.png?v=1446020717,5,,,,,,,,,,,,,,,,,,,,,
jack-wolfskin-mens-gecko-fleece-pullover,Jack Wolfskin Men's Gecko Fleece Pullover,"<p>Fashion has always been so temporary and uncertain. <strong>You can’t keep up with it.</strong> This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies. Obviously there is nothing wrong about it because fashion satisfies our willingness to be attractive. And also fashion is the detector of prosperity and social rank.But nowadays fashion is not such unavailable as it was a couple of centuries ago.</p>
<h3>It will suit you best of all</h3>
<p><iframe src=""https://www.youtube-nocookie.com/embed/CHXRTStPrUQ?rel=0"" allowfullscreen="""" height=""720"" width=""1280""></iframe></p>
<p>You have made the right choice.</p>
<ul>
<li>Our natural desire to wear fashionable clothes has many reasons</li>
<li>Just take a look at our assortment</li>
<li>We have foreseen all your needs</li>
</ul>
<p>So, this circumstance forced all leading successful companies to explore all needs and wishes of different groups of potential clients very deeply.</p>
<h4>Fashion has always been so temporary and uncertain</h4>
<p>The main reason of buying our clothes is the unique combination of fair price, extraordinary style and perfect quality. Here you can find garments of all sizes, colors, styles and fabrics. It will suit you best of all. Because we all live in the time of total consuming of uncountable goods and services, and this has become the main reason for the rapid growth of a so-called culture of consumption in our society. Our employees put in great efforts to make this commodity. Our good was made up by best experts with the help of most advanced technologies, and it gives us right to consider this product to be a premium one.</p>",Styler,Vintage,"",true,Color,Black,Size,XL,Type,Fabric,"",1202,shopify,99,continue,manual,180.00,199.00,true,true,,https://cdn.shopify.com/s/files/1/1026/0021/products/jack-wolfskin-mens-gecko-fleece-pullover_1.png?v=1446020728,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/jack-wolfskin-mens-gecko-fleece-pullover_1.png?v=1446020728,lb,,
jack-wolfskin-mens-gecko-fleece-pullover,,,,,,,,Blue,,XXL,,Leather,"",2500,shopify,100,deny,manual,188.00,190.00,true,true,,https://cdn.shopify.com/s/files/1/1026/0021/products/jack-wolfskin-mens-gecko-fleece-pullover_2.png?v=1446020728,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/jack-wolfskin-mens-gecko-fleece-pullover_2.png?v=1446020728,kg,,
jack-wolfskin-mens-gecko-fleece-pullover,,,,,,,,Red,,XL,,Fabric,"",799,shopify,1,deny,manual,189.00,199.00,true,true,,https://cdn.shopify.com/s/files/1/1026/0021/products/jack-wolfskin-mens-gecko-fleece-pullover_3.png?v=1446020728,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/jack-wolfskin-mens-gecko-fleece-pullover_3.png?v=1446020728,oz,,
jack-wolfskin-mens-gecko-fleece-pullover,,,,,,,,Black,,XXL,,Leather,"",100,shopify,13,continue,manual,190.00,195.00,true,true,,https://cdn.shopify.com/s/files/1/1026/0021/products/jack-wolfskin-mens-gecko-fleece-pullover_4.png?v=1446020728,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/jack-wolfskin-mens-gecko-fleece-pullover_4.png?v=1446020728,g,,
jack-wolfskin-mens-gecko-fleece-pullover,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/jack-wolfskin-mens-gecko-fleece-pullover_5.png?v=1446020728,5,,,,,,,,,,,,,,,,,,,,,
levis-mens-slim-trucker-jacket,Levi's Men's Slim Trucker Jacket,"<h3>You have made the right choice</h3>
<p>And it is good for you because as we all know people change their claims with the course of time, and our good will be actual for a long time. The main reason of buying our clothes is the unique combination of fair price, extraordinary style and perfect quality. Here you can find garments of all sizes, colors, styles and fabrics. It will suit you best of all. Our employees put in great efforts to make this commodity. It will suit you best of all. Because we all live in the time of total consuming of uncountable goods and services, and this has become the main reason for the rapid growth of a so-called culture of consumption in our society.</p>
<p>So, this <a target=""_blank"" href=""https://www.youtube.com/watch?v=0TSSoT4c2BI"">circumstance forced all leading successful companies</a> to explore all needs and wishes of different groups of potential clients very deeply. Our employees put in great efforts to make this commodity.</p>
<h3>Fashion has always been so temporary and uncertain</h3>
<p>We are lucky to have an opportunity to buy qualitative, fashionable and affordable clothes. So, with the great pleasure we are offering you our goods, and we are sure that only our choices of garments will suit you best.</p>
<p>Our product is universal because it suits different customers with different demands. We assure you it is really important, it shows that our good has such capacity as flexibility.</p>
<ul>
<li>Unique combination of fair price, extraordinary style and perfect quality</li>
<li>Just take a look at our assortment</li>
<li>We can propose you a list of gift ideas</li>
</ul>
<h3>Comfortable clothes</h3>
<p>We have foreseen all your needs.</p>
<blockquote>
<p>And it is good for you because as we all know people change their claims with the course of time, and our good will be actual for a long time. The main reason of buying our clothes is the unique combination of fair price, extraordinary style and perfect quality.</p>
</blockquote>
<p><iframe src=""https://www.youtube-nocookie.com/embed/E_IG2ubeTME?rel=0"" allowfullscreen="""" height=""720"" width=""1280""></iframe></p>
<p>So, our natural desire to wear fashionable clothes has many reasons such as historical, social and others. Therefore being fashionable costs a lot of money. But nowadays fashion is not such unavailable as it was a couple of centuries ago. We are lucky to have an opportunity to buy qualitative, fashionable and affordable clothes. So, with the great pleasure we are offering you our goods, and we are sure that only our choices of garments will suit you best.</p>",Styler,Casual,accessories,true,Title,Default Title,,,,,"",0,shopify,98,deny,manual,325.00,,true,true,"",https://cdn.shopify.com/s/files/1/1026/0021/products/levis-mens-slim-trucker-jacket_1.png?v=1446020738,1,,false,,,,,,,,,,,,,,,,,kg,,
levis-mens-slim-trucker-jacket,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/levis-mens-slim-trucker-jacket_2.png?v=1446020738,2,,,,,,,,,,,,,,,,,,,,,
levis-mens-slim-trucker-jacket,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/levis-mens-slim-trucker-jacket_3.png?v=1446020738,3,,,,,,,,,,,,,,,,,,,,,
levis-mens-slim-trucker-jacket,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/levis-mens-slim-trucker-jacket_4.png?v=1446020738,4,,,,,,,,,,,,,,,,,,,,,
levis-mens-slim-trucker-jacket,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/levis-mens-slim-trucker-jacket_5.png?v=1446020738,5,,,,,,,,,,,,,,,,,,,,,
ltb-jeans-womens-50201-valentine-straight-leg-jeans,Ltb Jeans Women's 50201 Valentine Straight Leg Jeans,"<h2>We can propose you a list of gift ideas</h2>
<p>It will suit you best of all. Because we all live in the time of total consuming of uncountable goods and services, and this has become the main reason for the rapid growth of a so-called culture of consumption in our society. So, this circumstance forced all leading successful companies to explore all needs and wishes of different groups of potential clients very deeply. Our employees put in great efforts to make this commodity.</p>
<p>So, with the great pleasure we are offering you our goods, and we are sure that only our choices of garments will suit you best. <strong>Our product is universal because it suits different customers with different demands.</strong> We assure you it is really important, it shows that our good has such capacity as flexibility.</p>
So, this circumstance forced all leading successful companies to explore all needs and wishes of different groups of potential clients very deeply. <a target=""_blank"" href=""https://www.youtube.com/watch?v=CHXRTStPrUQ"">And that is why we are offering you the result of great market and technological research</a> – our magnificent product. Our employees put in great efforts to make this commodity. Fashion has always been so temporary and uncertain.<br>
<ul>
<li>Just take a look at our assortment</li>
<li>We have foreseen all your needs</li>
</ul>
<p>Obviously there is nothing wrong about it because fashion satisfies our willingness to be attractive. And also fashion is the detector of prosperity and social rank. So, our natural desire to wear fashionable clothes has many reasons such as historical, social and others. Therefore being fashionable costs a lot of money. But nowadays fashion is not such unavailable as it was a couple of centuries ago.</p>",Styler,Ethnic,"casual, clothes, fashionable",true,Size,L,,,,,327AE-6,700,,99,deny,manual,250.00,,false,true,'327038522,https://cdn.shopify.com/s/files/1/1026/0021/products/ltb-jeans-womens-50201-valentine-straight-leg-jeans_1.png?v=1446020747,1,,false,,,,,,,,,,,,,,,,,kg,,
ltb-jeans-womens-50201-valentine-straight-leg-jeans,,,,,,,,XL,,,,,556-62225,1500,,1,deny,manual,250.00,259.00,true,true,'48245687465,https://cdn.shopify.com/s/files/1/1026/0021/products/ltb-jeans-womens-50201-valentine-straight-leg-jeans_2.png?v=1446020747,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/ltb-jeans-womens-50201-valentine-straight-leg-jeans_2.png?v=1446020747,kg,,
ltb-jeans-womens-50201-valentine-straight-leg-jeans,,,,,,,,XXL,,,,,'64554,300,shopify,50,deny,manual,255.00,,true,true,'2353565467,https://cdn.shopify.com/s/files/1/1026/0021/products/ltb-jeans-womens-50201-valentine-straight-leg-jeans_3.png?v=1446020747,3,,,,,,,,,,,,,,,,,,,kg,,
ltb-jeans-womens-50201-valentine-straight-leg-jeans,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/ltb-jeans-womens-50201-valentine-straight-leg-jeans_4.png?v=1446020747,4,,,,,,,,,,,,,,,,,,,,,
ltb-jeans-womens-50201-valentine-straight-leg-jeans,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/ltb-jeans-womens-50201-valentine-straight-leg-jeans_5.png?v=1446020747,5,,,,,,,,,,,,,,,,,,,,,
michael-stars-womens-short-sleeve-off-shoulder-dolman-shirt,Michael Stars Women's Short Sleeve Off Shoulder Dolman Shirt,"<h3>Here you can find garments of all sizes, colors, styles and fabrics</h3>
<p>And that is why we are offering you the result of great market and technological research – our magnificent product. Our employees put in great efforts to make this commodity. Our good was made up by best experts with the help of most advanced technologies, and it gives us right to consider this product to be a premium one. Fashion has always been so temporary and uncertain. You can’t keep up with it.</p>
<p>Just take a look at our assortment:</p>
<ol>
<li>We have foreseen all your needs</li>
<li>The most comfortable and safety clothing for your hobby is presented in our store</li>
<li>We assure you it is really important, it shows that our good has such capacity as flexibility</li>
</ol>
<p>So, this circumstance forced all leading successful companies to explore all needs and wishes of different groups of potential clients very deeply. And that is why we are offering you the result of great market and technological research – our magnificent product. <strong>Our employees put in great efforts to make this commodity.</strong> Fashion has always been so temporary and uncertain.</p>
<h4>You have made the right choice</h4>
<p><iframe src=""https://www.youtube-nocookie.com/embed/0TSSoT4c2BI?rel=0"" allowfullscreen="""" height=""720"" width=""1280""></iframe></p>
<p>Our product is universal because it suits <a target=""_blank"" href=""https://www.youtube.com/watch?v=CHXRTStPrUQ"">different customers with different demands</a>. We assure you it is really important, it shows that our good has such capacity as flexibility. And it is good for you because as we all know people change their claims with the course of time, and our good will be actual for a long time. The main reason of buying our clothes is the unique combination of fair price, extraordinary style and perfect quality.<br><br><br></p>",Styler,Sportswear,"",true,Title,Default Title,,,,,'327038,4500,shopify,100,deny,manual,120.00,133.00,true,true,555-6322-1,https://cdn.shopify.com/s/files/1/1026/0021/products/michael-stars-womens-short-sleeve-off-shoulder-dolman-shirt_1.png?v=1446020756,1,,false,,,,,,,,,,,,,,,,,kg,,
michael-stars-womens-short-sleeve-off-shoulder-dolman-shirt,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/michael-stars-womens-short-sleeve-off-shoulder-dolman-shirt_2.png?v=1446020756,2,,,,,,,,,,,,,,,,,,,,,
michael-stars-womens-short-sleeve-off-shoulder-dolman-shirt,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/michael-stars-womens-short-sleeve-off-shoulder-dolman-shirt_3.png?v=1446020756,3,,,,,,,,,,,,,,,,,,,,,
